GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice10,com.example,OrderItem,0,9,0,0,0,1,0,1,0,1
exercice10,com.example,Order,0,9,0,0,0,1,0,1,0,1
exercice10,com.example,CheckoutResult.Success,0,6,0,0,0,1,0,1,0,1
exercice10,com.example,CartOperationResult.Failure,0,6,0,0,0,1,0,1,0,1
exercice10,com.example,AuthResult.RegistrationSuccess,0,6,0,0,0,1,0,1,0,1
exercice10,com.example,AuthResult.RegistrationFailure,0,6,0,0,0,1,0,1,0,1
exercice10,com.example,Product,0,15,0,0,0,1,0,1,0,1
exercice10,com.example,CheckoutResult.Failure,0,6,0,0,0,1,0,1,0,1
exercice10,com.example,AuthResult.LoginSuccess,0,6,0,0,0,1,0,1,0,1
exercice10,com.example,ProductService,0,21,0,0,0,6,0,4,0,4
exercice10,com.example,Main,7,0,0,0,3,0,2,0,2,0
exercice10,com.example,AuthService,0,55,1,5,0,11,1,5,0,3
exercice10,com.example,User,0,12,0,0,0,1,0,1,0,1
exercice10,com.example,CartOperationResult.Success,0,6,0,0,0,1,0,1,0,1
exercice10,com.example,AuthResult.LoginFailure,0,6,0,0,0,1,0,1,0,1
exercice10,com.example,CartService,5,219,1,13,1,45,1,15,0,9
